personality,true y0,predicted_residual 0,predicted_residual 1,predicted_y2 ,residual 2,predicted_residua l2,predicted_y3 ,sigmoid,predicted_class
Extrovert,1,0.3,0.3,0.71,0.29,0.29,0.739,0.676777145,1
Introvert,0,-0.2,-0.34,0.296,-0.296,-0.295,0.2664,0.566208898,0
Introvert,0,-0.4,-0.41,0.269,-0.269,-0.266,0.2421,0.560231096,0
Extrovert,1,0.34,0.314,0.7154,0.2846,0.2675,0.74386,0.677839355,1
Extrovert,1,0.33,0.314,0.7144,0.2856,0.2885,0.74296,0.677642787,1
Extrovert,1,0.34,0.32,0.716,0.284,0.233,0.7444,0.677957265,1
Extrovert,1,0.3,0.32,0.712,0.288,0.212,0.7408,0.677170769,1
Extrovert,1,0.45,0.304,0.7254,0.2746,0.232,0.75286,0.679801559,1
Introvert,0,-0.31,-0.321,0.2869,-0.2869,-0.3123,0.25821,0.564196219,0
Extrovert,1,0.4,0.34,0.724,0.276,0.299,0.7516,0.679527231,1
Extrovert,1,0.34,0.35,0.719,0.281,0.243,0.7471,0.678546476,1
Introvert,0,-0.29,-0.25,0.296,-0.296,-0.233,0.2664,0.566208898,0
Extrovert,1,0.25,0.315,0.7065,0.2935,0.2995,0.73585,0.6760877,1
Extrovert,1,0.35,0.354,0.7204,0.2796,0.2789,0.74836,0.678821246,1
Introvert,0,-0.45,-0.255,0.2795,-0.2795,-0.2784,0.25155,0.562557972,0
Extrovert,1,0.35,0.335,0.7185,0.2815,0.2855,0.74665,0.678448313,1
Introvert,0,-0.35,-0.354,0.2796,-0.2796,-0.2845,0.25164,0.56258012,0
Extrovert,1,0.34,0.334,0.7174,0.2826,0.2822,0.74566,0.6782323,1
Introvert,0,-0.33,-0.334,0.2836,-0.2836,-0.2834,0.25524,0.56346582,0
Extrovert,1,0.46,0.396,0.7356,0.2644,0.2888,0.76204,0.681796476,1
,,,,,,,,,
,,,,,,,Mean (sigmoid),0.638204882,
,,,,,,,,We choose this as our threshold,